from_id,to_id,travel_time_p25,travel_time_p50,travel_time_p75,runs_present_p50,p50_run_sd,p50_run_range
143,MKT,84.0,86.0,88.0,5,0.0,0.0
143,SB,102.0,107.0,111.0,5,1.3038404810405297,3.0
144,HG,91.0,96.0,102.0,5,0.8366600265340756,2.0
144,HYW,92.0,95.0,99.0,5,0.5477225575051661,1.0
144,LMC,77.0,81.0,83.0,5,0.5477225575051661,1.0
144,LW,72.0,76.0,78.0,5,0.5477225575051661,1.0
144,MKT,83.0,86.0,90.0,5,0.4472135954999579,1.0
144,SB,107.0,110.0,112.0,5,0.0,0.0
145,HG,97.0,102.0,107.0,5,0.5477225575051661,1.0
145,HYW,100.0,102.0,103.0,5,0.0,0.0
145,LMC,86.0,87.0,88.0,5,0.0,0.0
145,LW,81.0,82.0,83.0,5,0.0,0.0
145,MKT,91.0,93.0,94.0,5,0.4472135954999579,1.0
145,SB,111.0,114.0,117.0,5,0.8366600265340756,2.0
146S,HG,88.0,93.0,98.0,5,0.5477225575051661,1.0
146S,HYW,89.0,90.0,92.0,5,0.4472135954999579,1.0
146S,LMC,75.0,76.0,77.0,5,0.0,0.0
146S,LW,70.0,71.0,72.0,5,0.0,0.0
146S,MKT,80.0,81.0,83.0,5,0.0,0.0
146S,SB,100.0,103.0,106.0,5,1.0,2.0
148,HG,95.0,99.0,105.0,5,0.8944271909999159,2.0
148,HYW,96.0,98.0,101.0,5,0.4472135954999579,1.0
148,LMC,81.0,83.0,85.0,5,0.0,0.0
148,LW,76.0,78.0,80.0,5,0.0,0.0
148,MKT,87.0,89.0,92.0,5,0.4472135954999579,1.0
148,SB,108.0,113.0,116.0,5,0.5477225575051661,1.0
149,HG,98.0,104.0,111.0,5,0.8366600265340756,2.0
149,HYW,101.0,104.0,107.0,5,0.5477225575051661,1.0
149,LMC,83.0,84.0,86.0,5,0.0,0.0
149,LW,78.0,79.0,81.0,5,0.0,0.0
149,MKT,92.0,95.0,98.0,5,0.5477225575051661,1.0
149,SB,112.0,118.0,,5,0.5477225575051661,1.0
151,HG,91.0,95.0,100.0,5,1.0,2.0
151,HYW,91.0,93.0,95.0,5,0.4472135954999579,1.0
151,LMC,77.0,78.0,80.0,5,0.5477225575051661,1.0
151,LW,72.0,73.0,75.0,5,0.5477225575051661,1.0
151,MKT,82.0,84.0,86.0,5,0.0,0.0
151,SB,103.0,106.0,109.0,5,0.5477225575051661,1.0
152,HG,99.0,104.0,110.0,5,0.8366600265340756,2.0
152,HYW,100.0,103.0,106.0,5,0.8366600265340756,2.0
152,LMC,84.0,87.0,88.0,5,0.5477225575051661,1.0
152,LW,79.0,82.0,83.0,5,0.5477225575051661,1.0
152,MKT,91.0,94.0,97.0,5,0.7071067811865476,2.0
